City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,castelnovo ne'monti,44.4356,10.4033,9.02,87,11,0.62,IT,1699835628
1,bloemhof,-27.6469,25.607,18.58,32,2,3.22,ZA,1699835628
2,minas de marcona,-15.2119,-75.1103,14.62,91,90,6.45,PE,1699835628
3,bethel,41.3712,-73.414,2.93,72,0,1.54,US,1699835562
4,alofi,-19.0595,-169.9187,25.94,73,100,6.69,NU,1699835628
5,afaahiti,-17.75,-149.2833,28.93,80,58,4.61,PF,1699835628
6,shevchenko,48.5,35.0,8.73,69,100,5.78,UA,1699835629
7,port-aux-francais,-49.35,70.2167,4.47,78,100,4.04,TF,1699835629
8,ceuta,35.8903,-5.3075,18.02,78,34,1.94,ES,1699835629
9,jamestown,42.097,-79.2353,3.8,68,0,3.09,US,1699834992
10,puerto natales,-51.7236,-72.4875,5.52,87,100,1.74,CL,1699835565
11,labytnangi,66.6572,66.4183,-11.9,88,16,4.0,RU,1699835630
12,dudinka,69.4058,86.1778,-0.74,98,100,7.6,RU,1699835055
13,dryden,49.7833,-92.7503,1.16,100,100,4.63,CA,1699835630
14,floro,61.5996,5.0328,5.54,75,8,3.6,NO,1699835630
15,stanley,54.868,-1.6985,6.51,96,75,2.57,GB,1699835630
16,anadyr,64.75,177.4833,-0.72,80,75,9.0,RU,1699835630
17,rawson,-43.3002,-65.1023,10.11,53,99,4.55,AR,1699835631
18,grytviken,-54.2811,-36.5092,3.02,90,100,1.87,GS,1699835559
19,fale old settlement,-9.3852,-171.2468,29.12,70,86,1.87,TK,1699835631
20,lihue,21.9789,-159.3672,28.58,72,75,8.75,US,1699835580
21,banda aceh,5.5577,95.3222,27.39,78,30,3.77,ID,1699835402
22,edinburgh of the seven seas,-37.0676,-12.3116,14.15,83,8,9.89,SH,1699835562
23,st. john's,47.5649,-52.7093,-0.02,87,100,3.09,CA,1699835338
24,tidjikja,18.5564,-11.4271,24.63,13,8,4.4,MR,1699835632
25,kodiak,57.79,-152.4072,4.73,60,0,2.06,US,1699835632
26,yellowknife,62.456,-114.3525,-6.99,95,100,8.75,CA,1699835632
27,haiku-pauwela,20.9219,-156.3051,28.01,60,20,14.92,US,1699835567
28,tofol,5.3248,163.0078,28.88,74,100,4.63,FM,1699835632
29,boguchany,58.3814,97.4531,-9.52,94,100,1.34,RU,1699835632
30,longyearbyen,78.2186,15.6401,-4.09,80,75,7.72,SJ,1699835632
31,laojunmiao,39.8333,97.7333,-2.06,41,4,2.11,CN,1699835040
32,blackmans bay,-43.0167,147.3167,18.74,46,4,0.89,AU,1699835564
33,san fernando de apure,7.8878,-67.4724,27.85,69,100,1.89,VE,1699835633
34,vila velha,-20.3297,-40.2925,26.97,84,0,3.09,BR,1699835466
35,bredasdorp,-34.5322,20.0403,12.88,88,39,0.27,ZA,1699835633
36,uturoa,-16.7333,-151.4333,27.71,76,23,3.0,PF,1699835633
37,magadan,59.5667,150.8,-10.26,61,100,3.75,RU,1699835634
38,ribeira grande,38.5167,-28.7,18.21,89,100,1.34,PT,1699835634
39,singkil,-7.9855,111.4161,29.61,63,9,2.38,ID,1699835634
40,bardai,11.65,7.2333,22.05,25,48,3.7,NG,1699835634
41,toamasina,-18.1667,49.3833,22.09,84,57,1.23,MG,1699835634
42,weno,7.4515,151.8468,27.97,75,65,4.08,FM,1699835049
43,hengchun,22.0042,120.7439,23.85,73,31,14.96,TW,1699835365
44,laguna,38.421,-121.4238,23.36,35,0,1.54,US,1699834878
45,adamstown,-25.066,-130.1015,22.8,85,100,8.14,PN,1699835567
46,constantia,44.1833,28.65,7.61,50,100,2.59,RO,1699835635
47,happy valley-goose bay,53.3168,-60.3315,-2.83,68,75,4.63,CA,1699835412
48,waitangi,-43.9535,-176.5597,12.61,88,100,8.61,NZ,1699835565
49,fort st. john,56.2499,-120.8529,0.94,60,75,0.0,CA,1699835068
50,puerto baquerizo moreno,-0.9,-89.6,23.74,82,100,5.6,EC,1699835636
51,krivodanovka,55.0881,82.6551,3.05,100,100,4.02,RU,1699835636
52,makassar,-5.14,119.4221,29.03,61,20,2.06,ID,1699835636
53,talnakh,69.4865,88.3972,-1.55,96,100,4.26,RU,1699835636
54,tura,25.5198,90.2201,18.25,83,0,1.54,IN,1699835636
55,port saint john's,-31.6229,29.5448,16.3,71,0,3.5,ZA,1699835636
56,hamilton,39.1834,-84.5333,10.47,62,0,2.57,US,1699835240
57,ust-nera,64.5667,143.2,-23.48,99,100,1.16,RU,1699835637
58,fortuna,40.5982,-124.1573,18.29,67,0,4.63,US,1699835080
59,takoradi,4.8845,-1.7554,26.03,87,12,2.83,GH,1699835637
60,wichita falls,33.9137,-98.4934,17.08,68,0,3.09,US,1699835403
61,kavieng,-2.5744,150.7967,28.47,68,100,1.43,PG,1699835080
62,ivins,37.1686,-113.6794,18.96,19,11,1.42,US,1699835637
63,hithadhoo,-0.6,73.0833,27.59,76,91,3.36,MV,1699835637
64,targu secuiesc,46.0,26.1333,-0.47,94,14,0.67,RO,1699835638
65,ubari,26.5921,12.7805,18.37,30,0,2.63,LY,1699835083
66,hasaki,35.7333,140.8333,9.22,78,100,10.38,JP,1699835477
67,port mathurin,-19.6833,63.4167,25.24,78,0,2.09,MU,1699835638
68,wailua homesteads,22.0669,-159.378,28.24,78,75,8.75,US,1699835638
69,acarau,-2.8856,-40.12,26.32,74,0,6.28,BR,1699835638
70,salalah,17.0151,54.0924,25.05,57,0,3.6,OM,1699835084
71,nouadhibou,20.931,-17.0347,21.99,73,0,6.69,MR,1699835639
72,kokuy,52.2037,117.5529,-9.02,82,17,0.86,RU,1699835639
73,sungai penuh,-2.0833,101.3833,22.33,84,46,0.87,ID,1699835639
74,lensk,60.7253,114.9278,-13.49,95,100,1.96,RU,1699835078
75,invercargill,-46.4,168.35,11.68,94,100,3.58,NZ,1699835568
76,port alfred,-33.5906,26.891,13.43,88,59,0.45,ZA,1699835639
77,iqaluit,63.7506,-68.5145,-17.95,70,0,2.57,CA,1699835639
78,baotou,40.6522,109.8222,-2.16,29,100,2.09,CN,1699835640
79,thompson,55.7435,-97.8558,-1.91,100,100,0.0,CA,1699835640
80,sao joao da barra,-21.6403,-41.0511,26.05,89,61,3.76,BR,1699835045
81,lebu,-37.6167,-73.65,9.04,66,0,6.65,CL,1699835640
82,bilibino,68.0546,166.4372,-13.28,96,100,2.22,RU,1699835568
83,ushuaia,-54.8,-68.3,10.81,50,75,6.17,AR,1699835526
84,askoy,60.4092,5.226,4.3,75,0,0.0,NO,1699835641
85,papatowai,-46.5619,169.4708,12.66,96,100,2.17,NZ,1699835641
86,newman,37.3138,-121.0208,24.13,45,82,1.87,US,1699835508
87,betio village,1.358,172.9211,28.02,75,49,3.97,KI,1699835641
88,kayangel,8.0823,134.7173,29.4,72,100,7.49,PW,1699835043
89,palikir - national government center,6.9248,158.1611,29.41,79,100,2.06,FM,1699835641
90,tralee,52.2704,-9.7026,11.73,96,100,5.53,IE,1699835641
91,al ghayzah,16.2079,52.176,26.03,71,0,0.3,YE,1699835068
92,lagoa,39.05,-27.9833,17.88,78,100,6.07,PT,1699835642
93,isafjordur,66.0755,-23.124,1.73,83,100,1.86,IS,1699835642
94,holualoa,19.6228,-155.9522,26.42,76,40,4.12,US,1699835000
95,enewetak,11.3474,162.3373,26.8,87,100,7.42,MH,1699835642
96,tiksi,71.6872,128.8694,-16.75,90,99,6.5,RU,1699835642
97,suntar,62.1444,117.6319,-12.94,96,100,1.35,RU,1699835643
98,lorengau,-2.0226,147.2712,29.5,64,29,1.99,PG,1699835643
99,naze,28.3667,129.4833,18.51,65,82,8.94,JP,1699835643
100,imperatriz,-5.5264,-47.4917,29.35,44,80,1.23,BR,1699835643
101,san patricio,28.017,-97.5169,17.13,97,100,5.69,US,1699835644
102,iskateley,67.6803,53.1512,-11.66,94,56,2.24,RU,1699835644
103,ilulissat,69.2167,-51.1,-11.99,61,28,0.0,GL,1699835644
104,nkhotakota,-12.9274,34.2961,25.01,71,11,0.98,MW,1699835644
105,kavaratti,10.5669,72.642,27.77,75,83,1.78,IN,1699835051
106,prieska,-29.6641,22.7474,18.3,29,0,4.9,ZA,1699835645
107,howrah,22.5892,88.3103,21.0,88,22,2.06,IN,1699835645
108,tolanaro,-25.0319,46.9987,21.04,78,0,3.09,MG,1699835645
109,severo-yeniseyskiy,60.3725,93.0408,-4.12,98,100,0.89,RU,1699835645
110,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,74,75,12.52,RU,1699835645
111,florence,43.7667,11.25,11.22,89,40,1.54,IT,1699835427
112,darwin,-12.4611,130.8418,32.75,61,40,2.06,AU,1699835409
113,impfondo,1.6381,18.0667,22.09,97,100,0.99,CG,1699835646
114,cumana,10.4635,-64.1775,26.93,82,100,5.56,VE,1699835646
115,malvan,16.0667,73.4667,25.84,60,77,2.76,IN,1699835646
116,chegdomyn,51.1167,133.0167,-11.11,81,100,1.3,RU,1699835647
117,ivdel',60.6911,60.4206,1.77,81,100,1.79,RU,1699835647
118,balabac,7.9868,117.0645,29.24,71,18,4.4,PH,1699835647
119,port elizabeth,-33.918,25.5701,15.16,75,0,5.66,ZA,1699835647
120,akhmim,26.5622,31.745,24.4,47,0,2.55,EG,1699835647
121,zhosaly,45.4878,64.0781,3.76,82,6,1.9,KZ,1699835648
122,flying fish cove,-10.4217,105.6791,25.82,83,100,4.12,CX,1699835648
123,bela,25.9333,81.9833,18.68,62,3,1.13,IN,1699835648
124,al qabil,22.571,58.6947,21.3,49,97,1.55,OM,1699835649
125,margaret river,-33.95,115.0667,19.16,67,86,6.08,AU,1699835564
126,hawaiian paradise park,19.5933,-154.9731,26.73,80,100,1.54,US,1699835649
127,punta arenas,-53.15,-70.9167,10.06,57,75,10.29,CL,1699835649
128,olonkinbyen,70.9221,-8.7187,-3.33,67,100,2.37,SJ,1699835578
129,puerto deseado,-47.7503,-65.8938,7.91,61,0,7.54,AR,1699835650
130,turochak,52.2576,87.1224,-3.56,98,100,0.47,RU,1699835650
131,saint-joseph,-21.3667,55.6167,20.21,82,37,2.45,RE,1699835650
132,crane,31.3974,-102.3501,14.14,75,100,3.94,US,1699835650
133,al jawf,29.5,38.75,22.8,34,67,3.03,SA,1699835060
134,avarua,-21.2078,-159.775,24.03,60,75,3.09,CK,1699835651
135,badger,64.8,-147.5333,-7.07,79,75,2.57,US,1699835651
136,klyuchi,52.2667,79.1667,4.85,84,99,4.95,RU,1699835651
137,nemuro,43.3236,145.575,4.82,50,33,4.61,JP,1699835651
138,marsh harbour,26.5412,-77.0636,25.73,64,15,4.34,BS,1699835652
139,georgetown,5.4112,100.3354,27.96,89,20,1.54,MY,1699835445
140,mount pearl,47.5166,-52.7813,-1.14,85,100,3.13,CA,1699835652
141,east london,-33.0153,27.9116,14.81,68,1,4.22,ZA,1699835074
142,port lincoln,-34.7333,135.8667,16.71,65,100,4.07,AU,1699835652
143,nova vicosa,-17.8919,-39.3719,24.85,81,0,7.66,BR,1699835653
144,hotan,37.0997,79.9269,3.22,29,0,0.88,CN,1699835086
145,arraial do cabo,-22.9661,-42.0278,24.63,85,100,0.97,BR,1699835653
146,codrington,-38.2667,141.9667,16.26,51,5,5.59,AU,1699835653
147,mount gambier,-37.8333,140.7667,17.92,45,10,3.52,AU,1699835478
148,ancud,-41.8697,-73.8203,7.43,77,79,3.87,CL,1699835566
149,tsiombe,-25.3,45.4833,21.48,60,0,2.66,MG,1699835654
150,sao gabriel da cachoeira,-0.1303,-67.0892,25.27,87,42,0.59,BR,1699835631
151,antsiranana,-12.2787,49.2917,24.72,79,23,6.14,MG,1699835654
152,mount isa,-20.7333,139.5,33.87,26,5,4.12,AU,1699835456
153,port hedland,-20.3167,118.5667,27.03,57,3,4.63,AU,1699835655
154,atafu village,-8.5421,-172.5159,29.12,69,30,0.8,TK,1699835655
155,rongelap,11.1635,166.8941,27.94,82,100,8.86,MH,1699835655
156,burang,30.25,81.1667,-4.35,53,0,0.93,CN,1699835655
157,selfoss,63.9331,-20.9971,2.8,64,100,6.48,IS,1699835656
158,morehead city,34.7229,-76.726,12.21,89,100,8.23,US,1699835656
159,bel ombre,-4.6167,55.4167,26.91,83,20,1.54,SC,1699835656
160,vangaindrano,-23.35,47.6,19.08,83,0,2.68,MG,1699835656
161,college,64.8569,-147.8028,-7.03,79,75,2.57,US,1699835528
162,sitangkai,4.6628,119.3928,28.19,75,43,2.53,PH,1699835657
163,ha'il,27.5219,41.6907,18.01,52,0,1.03,SA,1699835657
164,rio grande,-32.035,-52.0986,17.06,90,100,3.23,BR,1699835657
165,bonito,-21.1211,-56.4819,33.92,32,53,4.36,BR,1699835656
166,hilo,19.7297,-155.09,27.93,75,100,1.54,US,1699835076
167,fisterra,42.9049,-9.2629,19.3,93,96,12.94,ES,1699835407
168,saipan,15.1355,145.701,31.39,70,20,7.72,MP,1699835658
169,darlowo,54.421,16.4107,6.4,87,89,3.59,PL,1699835658
170,newnham,-41.3833,147.1333,17.4,48,0,5.66,AU,1699835658
171,fort bragg,35.139,-79.006,13.23,76,0,0.0,US,1699835659
172,mata-utu,-13.2816,-176.1745,28.84,71,85,6.58,WF,1699835659
173,padang,-0.9492,100.3543,25.03,85,94,0.59,ID,1699835659
174,uyo,5.0333,7.9266,23.89,94,100,1.58,NG,1699835459
175,kidal,18.4411,1.4078,25.3,12,0,4.63,ML,1699835659
176,tucumcari,35.1717,-103.725,13.91,23,0,2.06,US,1699835659
177,kone,-21.0595,164.8658,27.94,41,13,4.49,NC,1699835660
178,areia branca,-4.9561,-37.1369,25.9,71,0,7.12,BR,1699835660
179,keflavik,64.0049,-22.5624,3.95,70,0,6.69,IS,1699835660
180,papao,-17.75,-149.55,29.82,76,39,2.36,PF,1699835660
181,broome,42.2506,-75.833,1.21,80,40,2.06,US,1699835661
182,puerto ayora,-0.7393,-90.3518,24.75,90,54,2.24,EC,1699835480
183,chonchi,-42.6128,-73.8092,8.56,84,96,1.4,CL,1699835661
184,qusmuryn,52.4503,64.6311,5.1,88,99,1.99,KZ,1699835661
185,harper,4.375,-7.7169,25.81,89,44,3.79,LR,1699835662
186,lusambo,-4.9667,23.45,19.37,99,100,0.74,CD,1699835662
187,wewak,-3.5534,143.6268,29.16,72,19,3.24,PG,1699835662
188,sinop,41.7711,34.8709,11.27,92,95,1.71,TR,1699835662
189,rialma,-15.315,-49.5844,25.82,45,11,1.22,BR,1699835662
190,dunedin,-45.8742,170.5036,20.6,63,100,1.79,NZ,1699835407
191,xiahu,26.6106,119.9483,14.9,71,99,8.42,CN,1699835663
192,kailua-kona,19.6406,-155.9956,28.49,73,40,4.12,US,1699835663
193,pierre,44.3683,-100.351,11.82,48,0,3.09,US,1699835585
194,veraval,20.9,70.3667,25.24,34,100,5.54,IN,1699835664
195,castanos,26.7833,-101.4167,13.02,97,100,2.81,MX,1699835664
196,utrik,11.2278,169.8474,28.02,81,100,8.58,MH,1699835664
197,ingeniero jacobacci,-41.3427,-69.5448,7.45,46,0,6.43,AR,1699835664
198,shingu,33.7333,135.9833,11.15,62,18,4.37,JP,1699835665
199,trincomalee,8.5711,81.2335,26.05,88,100,5.73,LK,1699835665
200,labrador city,52.9463,-66.9114,-7.05,86,100,6.17,CA,1699835665
201,tshabong,-26.05,22.45,21.92,16,0,3.91,BW,1699835665
202,aykhal,66.0,111.5,-13.06,95,100,4.24,RU,1699835665
203,upper grand lagoon,30.1633,-85.7408,18.08,83,100,3.13,US,1699835666
204,cherniakhiv,50.4565,28.6702,5.16,82,100,7.67,UA,1699835666
205,axim,4.8699,-2.2405,25.85,89,3,2.42,GH,1699835562
206,matehuala,23.65,-100.65,14.91,92,100,4.25,MX,1699835664
207,akrehamn,59.2667,5.1833,5.79,93,100,2.57,NO,1699835666
208,praia da vitoria,38.7333,-27.0667,17.64,94,75,2.65,PT,1699835666
209,vavozh,56.7751,51.931,1.87,86,100,7.72,RU,1699835667
210,marsa alam,25.0757,34.8918,25.71,82,100,2.15,EG,1699835667
211,jianshui,23.6363,102.8264,17.28,92,100,1.2,CN,1699835667
212,akureyri,65.6835,-18.0878,-2.04,80,20,1.54,IS,1699835667
213,manokwari,-0.8667,134.0833,28.8,75,86,2.47,ID,1699835668
214,santa ana,33.7456,-117.8678,29.73,34,75,5.14,US,1699835668
215,ta`u,-14.2336,-169.5144,27.88,79,17,4.44,AS,1699835668
216,arklow,52.7931,-6.1414,12.27,97,100,10.0,IE,1699835668
217,manacapuru,-3.2997,-60.6206,28.88,65,96,1.47,BR,1699835668
218,palmer,42.1584,-72.3287,0.64,75,0,1.2,US,1699835668
219,antigonish,45.6169,-61.9986,3.79,87,53,1.34,CA,1699835605
220,tarime,-1.35,34.3667,16.88,94,97,1.14,TZ,1699835669
221,thinadhoo,0.5333,72.9333,26.76,77,100,0.84,MV,1699835669
222,gaigeturi,33.4644,126.3183,9.03,57,75,5.66,KR,1699835669
223,loukhi,66.0764,33.0381,-4.35,97,85,2.37,RU,1699835669
224,kolwezi,-10.7148,25.4667,16.16,97,80,1.64,CD,1699835670
225,selkirk,50.1436,-96.8845,4.54,76,0,4.02,CA,1699835670
226,souillac,-20.5167,57.5167,20.21,88,20,2.57,MU,1699835670
227,cooma,-36.2333,149.1333,22.68,25,93,0.41,AU,1699835670
228,onega,63.9061,38.1404,-3.8,77,61,6.41,RU,1699835670
229,margate,51.3813,1.3862,10.17,98,100,2.24,GB,1699835636
230,novodvinsk,64.4165,40.8122,-3.45,93,39,4.25,RU,1699835671
231,west island,-12.1568,96.8225,26.99,83,40,4.63,CC,1699835671
232,namibe,-15.1961,12.1522,22.12,77,97,0.41,AO,1699835671
233,coquimbo,-29.9533,-71.3436,14.85,77,20,5.14,CL,1699835448
234,zeya,53.75,127.2667,-3.62,42,0,4.14,RU,1699835672
235,cole harbour,44.6724,-63.4751,3.71,80,67,4.63,CA,1699835672
236,freetown,8.484,-13.2299,26.46,87,17,2.05,SL,1699835672
237,tamandare,-8.7597,-35.1047,23.82,77,1,2.06,BR,1699835672
238,warrnambool,-38.3833,142.4833,19.64,57,5,4.8,AU,1699835674
239,el calafate,-50.3408,-72.2768,7.66,75,100,3.43,AR,1699835674
240,carnarvon,-24.8667,113.6333,22.63,70,30,4.07,AU,1699835674
241,kuala tungkal,-0.8167,103.4667,27.1,82,80,1.59,ID,1699835674
242,kerikeri,-35.2268,173.9474,20.1,51,0,3.93,NZ,1699835674
243,binka,21.0333,83.8,19.64,73,23,0.74,IN,1699835675
244,puerto cabezas,14.0351,-83.3888,26.14,92,99,4.56,NI,1699835675
245,polyarnyy,69.1989,33.4478,-9.61,96,97,4.42,RU,1699835675
246,torredembarra,41.1451,1.3986,19.27,82,0,1.54,ES,1699835675
247,gateway,26.5776,-81.7504,27.21,82,20,7.2,US,1699835516
248,remire-montjoly,4.9167,-52.2667,27.39,82,2,5.44,GF,1699835676
249,ibiruba,-28.6275,-53.0897,21.26,96,95,5.68,BR,1699835676
250,katsuren-haebaru,26.3369,127.8719,22.01,64,100,7.72,JP,1699835676
251,nar'yan-mar,67.6713,53.087,-11.61,94,52,2.24,RU,1699835676
252,ribas do rio pardo,-20.4431,-53.7592,29.31,34,9,3.67,BR,1699835676
253,qaqortoq,60.7167,-46.0333,-8.1,89,24,0.57,GL,1699835677
254,saint-philippe,-21.3585,55.7679,20.77,83,71,2.92,RE,1699835677
255,kirakira,-10.4544,161.9205,27.09,81,100,1.15,SB,1699835677
256,elliot lake,46.3834,-82.6331,4.6,82,100,5.8,CA,1699835677
257,soio,-6.1349,12.3689,25.63,87,100,2.47,AO,1699835678
258,egilsstadir,65.2653,-14.3948,-1.05,93,75,3.6,IS,1699835678
259,mana,5.6592,-53.7767,26.49,86,6,4.71,GF,1699835678
260,malanje,-9.5402,16.341,17.17,99,96,0.68,AO,1699835678
261,carutapera,-1.195,-46.02,26.23,78,0,3.77,BR,1699835678
262,albany,42.6001,-73.9662,-0.18,76,5,0.71,US,1699835389
263,isla mujeres,21.2311,-86.731,26.03,75,58,6.45,MX,1699835679
264,superior,46.7208,-92.1041,9.87,66,0,6.17,US,1699835679
265,nefta,33.8731,7.8777,19.14,38,1,2.16,TN,1699835679
266,san pedro de ycuamandiyu,-24.0917,-57.0764,35.42,29,77,3.33,PY,1699835679
267,hermanus,-34.4187,19.2345,14.21,86,3,3.52,ZA,1699835680
268,olyokminsk,60.3736,120.4264,-11.61,93,100,1.44,RU,1699835680
269,jining,35.405,116.5814,3.32,29,100,0.52,CN,1699835680
270,yuzhno-kurilsk,44.0306,145.8556,2.43,80,53,2.45,RU,1699835680
271,bargaal,11.2864,51.0773,26.98,77,58,5.71,SO,1699835680
272,nova xavantina,-14.6667,-52.35,29.46,37,85,1.95,BR,1699835680
